1.1. 不住寂靜法則
- 無有世俗的茅屋、巢窟、繼系、繫縛概念
- 母為屋、妻為巢、子為繼系、渴愛為縛
2.4.2 聖法的現實特性
- 世間欲樂充滿不安與痛苦
- 聖法乃是現實可證，可引導至涅槃
2.4.3 超越分別的智慧
- 不執著於勝、等、劣的比較分別
- 心念不動搖於三種差別對待
- 拂除思慮傲慢，斷絕名色貪愛
- 心不動搖，絕除結縛，安住無欲

3.1. 解脫核心法則
- 斷除貪欲、瞋恚與無明，達到漏盡解脫的阿羅漢境界。
3.2. 修行實踐要點
3.2.1 心念調伏
- 不應完全壓制心念，而應在惡念生起之處加以制止。
- 持守戒律、具備智慧、修習心念、精進謹慎的比丘能解脫纏縛。
3.2.2 名色超越
- 消滅名色、斷除障礙與色相的執想，徹底斷絕一切纏縛。
- 當地、水、火、風四大元素止息之處，流轉便停止，名色也隨之滅盡無餘。
3.2.3 欲望捨離
- 捨棄對欲望的貪著，斷除惡欲貪求，拔除渴愛的根本。
- 遠離五種感官欲望及意念欲望的貪愛，解脫痛苦束縛。
- 捨棄家庭、財富與眷屬，於世間不再有嫉妒。
3.3. 解脫者境界
3.3.1 特質表現
- 清淨無染者不受觸的影響，惡念只會返歸於愚人。
- 已完成修行、漏盡解脫的阿羅漢，雖依世間慣例使用「我」的稱謂，但已完全捨棄我慢執著。
3.3.2 光明境界
- 世間有四種光明：白晝的日光、夜晚的月光、日夜的火焰，以及正覺的無上光明。

4.1. 親近善友之法則
- 應與善人共處、親近、交往。
4.2. 親近善友之利益
4.2.1 認識正法
- 能認識善的正法。
4.2.2 增長智慧
- 能獲得智慧。
4.2.3 遠離惡行
- 能行善而不造惡。
4.2.4 超越憂苦
- 能於憂苦中不生憂苦。
4.2.5 光耀門楣
- 能於親族中獲得輝耀。
4.2.6 導向善道
- 能引導眾人趨向善趣。
4.2.7 獲得安樂
- 能令眾人獲得幸福。
4.2.8 解脫痛苦
- 能解脫一切痛苦。

5.1. 慳貪的過失與對治
- 慳貪與放逸會導致人不願布施，所恐懼的是未來將遭受的飢渴等苦果。
- 愚者因慳貪，無論在此世或後世都將觸及苦難，因此應當滅除慳貪，因為布施能勝過內心的污穢。
5.2. 布施的功德與實踐
- 布施是具足功德的行為，能成為後世安樂的依憑，對於明知布施果報並希求功德的人，應當實踐布施。
- 將財物分施給貧困者，此功德能計以千倍；即使在貧困中，為了生計與養家而僅能拾取落穗維生，但若能行布施，依然是善業正法。
5.3. 正確布施的殊勝
- 正確的布施，其功德遠超過以傷害為手段的豐盛供養。
- 即使有成千上萬的供犧，若其建立在殺生、傷害、惱害眾生或令其悲泣的錯誤行為上，其價值甚至比不上正確布施的十六分之一。

6.1. 布施的根本價值與原則
6.1.1 布施的基本功德
- 布施是友善且善哉的行為，能帶來功德與福報。
6.1.2 布施的關鍵心態
- 應依信與如法而行布施，不應因慳貪與放逸而不行布施。
6.2. 不同條件的布施類型與功德
6.2.1 貧困之施
- 貧困者依信而行布施，其功德計為千倍，能利於他人並帶來安樂。
6.2.2 辨別之施
- 辨別之施是善哉的行為，為善逝所讚歎，在此世值得供養，並能產生大果報，猶如在良田中播種。
6.3. 善行的根本法則與實踐
6.3.1 對待生命的基本法則
- 應自制於有生之類，不應傷害有生之類。
6.3.2 行為的準則與動機
- 善哉追求正當的生活，因懼怕他人的責難而不造作惡事。
6.4. 布施與善行的終極導向
- 精進於如法，並獲得布施果報者，能超越夜摩界與衛多羅尼川，往生於天界；依信布施與法句施尤為殊勝。過去世有智慧的善人，皆依此而行，導向涅槃。

7.1. 欲望的本質與影響
7.1.1 欲望的根源與束縛
- 愛欲是內心的貪念，使人產生樂著而被其束縛。
- 因放逸而無法從束縛中回歸。
7.1.2 欲望的後果
- 禍患與苦惱皆從欲望而生。
7.2. 調伏欲望的方法
7.2.1 根本對治
- 調伏欲望即是調伏禍患與苦惱。
7.2.2 具體實踐
- 調伏的是內心的欲望，而非捨棄世間對象。
- 遠離忿怒、捨棄我慢、不執著於名與色。
7.3. 解脫的境界與達成
7.3.1 解脫的狀態與特質
- 超越一切結縛，心中不再有任何執著之物。
- 不會陷入苦惱，除滅妄念，不行我慢。
- 於人界、天界及一切住處，都無法尋得其蹤跡。
7.3.2 解脫的達成與敬仰
- 斷除對名與色的執著、渴愛及煩惱結縛，達到無欲之心。
- 若知曉正法且斷除疑惑，應對這樣的解脫者禮敬與讚歎。

8.1. 解脫的核心法則
8.1.1 實踐重於聽聞
- 僅是聽聞教法，不能使人達到解脫。
- 必須親身依循道跡修行，才能獲得堅固的成果。
8.1.2 修行的具體方法
- 應修習禪定。
- 應依智慧體證。
8.1.3 修行的最終目標
- 解脫魔之束縛。
- 捨棄對世間的執著。
- 證入涅槃。
8.2. 對治瞋恚的法則
8.2.1 瞋恚的過失
- 內心積蓄沉重的瞋怒，會使人結下更多怨仇。
- 若瞋恚不能平息，則無法產生善果。
8.2.2 對治瞋恚的方法
- 不應喜愛與執著瞋恚之心。
- 應接納他人的懺悔，放下怨結。
8.3. 正念與過失的法則
8.3.1 凡夫的狀態
- 沒有人是完全沒有罪過的。
- 沒有人是完全沒有過失的。
- 沒有人能永遠不失念。
8.3.2 覺者的境界
- 已覺悟的聖者是沒有罪過的。
- 已覺悟的聖者是沒有過失的。
- 聖者的心念不會因失念而墮落，能恆常保持正念。

9.1. 信仰的現世與來世利益
- 具備信仰的人，在現世能獲得聲譽與稱讚。
- 具備信仰的人，死後能往生天界。
9.2. 解脫的實踐方法
9.2.1 捨離煩惱
- 捨棄傲慢。
- 遠離忿恨。
- 超越一切束縛。
- 不執著名色。
9.2.2 實踐不放逸
- 不放逸是賢者守護的最勝財富。
- 不應沉溺於放逸。
- 不應結交愛欲之樂。
- 應實踐禪思以達成最勝安樂。

10.1. 僧伽功德
10.1.1 清淨與守護
- 僧伽為無可指責之集會，比丘等自心寂靜且正直。
- 賢者善於守護諸根，如同駕馭者善於控制手執之韁繩。
10.1.2 斷除煩惱與調伏心
- 斷除貪欲如同截斷柱子、粉碎門閂、移除柵欄，具眼者得以清淨無染。
- 心善於調伏，如同訓練良好之幼象，於遊行中不為煩惱所污染。
10.2. 歸依利益
10.2.1 不墮惡趣與得生天界
- 凡是歸依於佛陀者，將不會墮入惡趣。
- 捨棄此人身後，將能滿足天眾之集會（得生天界）。

11.1. 解脫心性修持法則
11.1.1 正念忍痛根本態度
- 不為強烈痛苦所惱
- 以正心正念忍耐
- 保持內心平靜
- 心不躍上不沈下
11.1.2 解脫實踐要領
- 捨棄憍慢行
- 令心善寂靜
- 不行於放逸
- 諸行皆清淨
11.2. 解脫要素歸納
11.2.1 必要修持
- 善修三昧
- 見解脫心
- 於有行發而非抑
- 行制伏煩惱
11.2.2 障礙因素
- 渴愛所囚
- 禁戒所縛
- 不調馴
- 憍慢與愛欲
11.3. 法則應用說明
11.3.1 心性修持法則應用
- 正念忍痛根本態度普遍應用於面對痛苦時保持不惱不亂
- 解脫實踐要領適用於日常修持中對治放逸與憍慢
11.3.2 環境實踐應用
- 單獨住森林有助於實踐不解脫要領
- 透過上述修持可達渡脫死魔域、到達彼岸、心得解脫

12.1. 聖法的根本特性
12.1.1 聖法的來源與地位
   - 由無上正覺者所宣說
   - 是眾生之上的究竟真理
   - 能引導眾生證得智慧之眼
12.2. 對待聖法的因果法則
12.2.1 法則的普遍適用性
   - 不論任何人，其果報皆取決於對待聖法的態度
12.2.2 態度與果報的對應關係
   - 誹謗聖法：將成為閑蕩愚人，死後墮入叫喚地獄，長期承受巨大痛苦
   - 恭敬信仰：應具備寂靜與忍辱，以恭敬心禮奉聖法，捨棄此身後能生天界，得以參與天眾集會

13.1. 修行根本法則
13.1.1 核心實踐
- 身口意不作一切惡
13.1.2 心性修持
- 遠離愛欲
- 保持正心正念
13.2. 修行成果
- 不受一切無益之苦惱

14.1. 世間熾燃與解脫實踐
14.1.1 世間本質與智者認知
- 世間被老死之火熾烈燃燒，財富與身體在死亡時皆無法帶走。
- 智者認知此理，享受財富並善於布施，調伏慳吝以克服煩惱。
14.1.2 布施果報與功德依憑
- 布施能帶來安樂果報，不布施則無此果報。
- 功德是後世得以渡越苦海的依憑。
14.2. 布施種類與根本心態
14.2.1 布施內容與對應利益
- 布施食物得力量，布施衣物得美貌，布施車乘得安樂，布施燈明得眼目。
- 布施住處等於布施一切所需，教導正法等於布施不死（解脫）。
14.2.2 布施心態與福報
- 應以清淨的信心進行布施，如此能在今生與來世都獲得福報。
14.3. 束縛根源與超越狀態
14.3.1 束縛構成要素
- 無明是根本束縛，包含斷見與常見兩種極端見解。
- 有三種垢染（貪、瞋、癡），五種欲望的活動領域（五欲）。
- 有十二處（感官與對象）的漩渦，欲望如同無法滿足的大海。
14.3.2 聖者超越境界
- 聖者能夠超越這些束縛，超越地獄等苦難境地。
14.4. 賢者特質與解脫車乘
14.4.1 賢者定義與特質
- 名聲沒有缺損，能洞見隱秘的真理。
- 以智慧行布施，不執著於愛欲之家，了知一切而行於聖道。
14.4.2 解脫車乘構成
- 道路稱為正直，境地稱為無畏，車乘稱為無聲（平穩）。
- 具備此法輪，慚愧是依靠的基臺，正念是保護的帷帳。
- 以正法作為駕御，正見是前行的引導，依靠此車乘皆能到達涅槃。
14.5. 功德增長與清淨因緣
14.5.1 功德來源與世間善行
- 持戒並安住於正法者，其功德日夜增長，能往生天界。
- 具體功德行為：建造園林、植樹、建造橋梁、挖掘水井、提供飲水與住所。
14.5.2 清淨本質與成就
- 清淨並非來自氏族或財富，而是來自持戒與智慧。
- 智者思維自身利益，正確抉擇正法，從而達到清淨與寂靜。
14.6. 慳貪與布施對比果報
14.6.1 慳貪特徵與果報
- 慳貪、吝嗇、辱罵乞求者、阻礙他人布施。
- 果報是投生地獄、畜生或夜摩世界（惡道）。
- 再生於人間則生於貧窮之家，難以獲得衣食享樂。
14.6.2 布施特質與果報
- 慈悲深厚、遠離慳貪、對佛法僧深具信心與恭敬。
- 果報是投生於光輝的天界。
- 再生於人間則生於富貴之家，易於獲得衣食享樂，能自由享用他人積蓄的福報。
14.7. 究竟解脫特徵與關鍵
14.7.1 解脫者境界
- 已斷除欲貪與瞋恚，滅盡無餘，超越世間愛著。
- 超越死亡魔王領域，捨棄人身後不再受生於天界束縛。
14.7.2 解脫關鍵認知
- 了知關於名色（身心現象）的滅盡無餘之法。
- 透過了知此法，能斷除存在的束縛結縛。

15.1. 人生安穩的根基與依靠
15.1.1 安穩的要素
- 戒律是面對衰老與平安生活的根本
- 信仰是穩固的基礎與安住之處
- 智慧是人最珍貴的寶藏
- 功德是任何盜賊都無法奪走的財富
15.1.2 人生依靠的分類
- 商主是旅人的朋友
- 母親是家中的朋友
- 朋友在事情發生時會提供幫助
- 子女是人一生的支持
- 妻子是最親密的伴侶
- 自身所積累的功德是未來的依靠
15.2. 輪迴的根源與解脫之道
15.2.1 輪迴的成因與束縛
- 貪愛是生命產生的原因
- 人心不斷地追逐奔忙
- 眾生因此墮入輪迴
- 業力是人在輪迴中的依怙
- 痛苦使人無法從輪迴中解脫
- 苦惱是人最大的恐懼
15.2.2 修行障礙與解脫方法
- 貪欲是錯誤的道路
- 對女性的執著是清淨修行的汙垢
- 對此類執著的堅持，就如同沒有水的沐浴
- 信心是人的伴侶
- 智慧能教化他人
- 愛樂涅槃能使人解脫一切苦惱
15.3. 詩偈的構成要素
15.3.1 詩偈的形成條件
- 韻律是詩偈的成因
- 文字是其標記
- 詩偈依賴題名而成立
- 詩人是詩偈的住家

16.1. 統攝世間的根本法則
16.1.1 心識與渴愛的主導
- 世間由心與渴愛所引導，因心與渴愛而煩擾。
- 一切事物都從屬於名、心與渴愛。
16.2. 世間的束縛與苦迫
16.2.1 束縛與苦迫的根源
- 世間因喜悅與欲望而被束縛，其步伐是對喜悅的尋求。
- 世間被死亡所窘迫，被衰老所覆蓋，由渴愛所延續，並建立在苦惱之上。
- 渴愛如同貫穿世間的長矛，欲望使世間持續灼熱。
- 斷除愛欲即是涅槃。
16.3. 解脫束縛的關鍵
16.3.1 斷除欲望
- 調伏欲望才能獲得解脫，遠離欲望即可斷除一切束縛。
16.4. 世間構成的要素
16.4.1 六處的運作
- 世間因「六」而生起，在「六」上聚合，因執著「六」而受苦。

17.1. 世間最勝法則
17.1.1 最勝之富
- 信仰為人生最殊勝的財富
- 實踐善法能帶來安穩與快樂
- 智慧為基礎的生活是最勝生活
17.1.2 最高標準
- 智慧是世間的光明
- 正念是世間的覺醒
- 明慧的增長最為殊勝
17.2. 修行淨障法則
17.2.1 應斷煩惱
- 忿怒應予斷除，能得安樂
- 貪欲是錯誤之道
- 慳吝是修行障礙
- 欲望導致痛苦
17.2.2 清淨要點
- 心意不應停滯於感官對象
- 應遠離懶惰與放逸
- 應遠離沉眠與怠慢
17.3. 世間標誌法則
17.3.1 標誌特質
- 旗幡是車輛的標誌
- 煙是火的標誌
- 國王是國家的標誌
- 丈夫是婦女的標誌
17.3.2 安穩基礎
- 正確言語與意念
- 身體不作惡行
- 具備信仰與柔和
17.4. 解脫實踐法則
17.4.1 無諍境界
- 修行者於世無諍
- 修行者遍知欲望
- 修行者常得自由
17.4.2 言語取捨
- 應捨棄善良言語以外的
- 不應捨棄惡劣言語以外的

18.1. 修行根本法則
18.1.1 精進實踐要領
- 斷除煩惱流
- 精進滅愛欲
- 離欲入禪定
- 應作即精進
- 捨離愛欲執
- 不希求存在
- 實踐沙門行道
18.1.2 禪定成就特質
- 獨居靜坐修持
- 保持內心寂靜
- 通達禪定深境界
- 獲得心識解脫
- 心識善妙不執
- 無執著無與倫比
- 正念善心達寂靜
18.2. 修行障礙對治
18.2.1 煩惱消除要點
- 滅除忿怒得安眠
- 除去忿怒無憂悲
- 忿怒如毒亦如蜜
- 聖者讚歎除忿行
18.2.2 懈怠過失警示
- 出家若疏懶
- 增長諸塵垢
- 惡行招苦果
- 污染戒律行
- 疑梵行無果
18.3. 修行成就境界
18.3.1 解脫特徵
- 無有所作為
- 應作皆已完成
- 建立穩固基礎
- 達彼岸不動搖
- 超越生死流轉
- 成就諸漏盡除
- 不追求成果而得
18.3.2 聖者修行特質
- 有學持戒能寂靜
- 出家安樂知足行
- 心樂修習日夜悅
- 諸根寂靜破死網
- 聖者樂行險難道
18.4. 修行光明指引
18.4.1 四種光明來源
- 白日太陽光明
- 夜晚月光照耀
- 日夜火光照耀
- 正覺無上光明
18.4.2 歸依救護功德
- 歸依佛陀得解脫
- 佛陀憐愍救世間
- 歸依能破諸障礙
- 歸依得生安樂處

19.1. 解脫的核心法則與實踐
19.1.1 修行根本法則
- 持戒具足，智慧善靜心
- 精進不撓，勤修心意
- 遠離欲想，超越繫縛
- 捨棄執著，正念出家
- 始終不放逸，不入死魔領
- 菩提分勤修，制諸根一切
19.1.2 解脫境界特徵
- 寂靜而禪樂，正念捨諸愁
- 諸漏皆盡已，最後身之人
- 無喜亦無悲，超愛世比丘
- 善巧心集中，正念入禪定
- 離諍煩惱，而入禪定人
- 知世之興廢，心善不執著
- 渡難超瀑流，是為不深沈
19.2. 生死觀照與恐懼超越
19.2.1 生死本質觀
- 生導死壽短，老導無庇護
- 觀死此恐怖，棄欲希寂靜
19.2.2 恐懼對治方法
- 此心常怖畏，此意常顫慄
- 起時甚恐懼，不起亦恐懼
- 放棄外一切，得見眾平安
19.3. 清淨成就途徑
19.3.1 清淨基礎要素
- 善意智法定，以及戒正命
- 依此人清淨，非得於姓氏
19.3.2 清淨實踐方法
- 賢智者思己利，思擇正法
- 依於戒智慧，乃至於寂靜
- 比丘到彼岸，應當是最勝

20.1. 親近善知識的核心利益
20.1.1 智慧與解脫
- 能獲得智慧。
- 能解脫一切痛苦。
20.1.2 德行與幸福
- 能實踐善行，避免惡行。
- 能獲得幸福。
- 能光耀親族。
- 能趨向善道。
20.2. 實踐善法的具體途徑
- 親近善友。
- 學習善知識所教導的正法。

21.1. 善惡行為與其果報法則
21.1.1 惡業的因果
- 行為愚昧無知，如同與自己為敵。
- 造作各種惡業，必然招致痛苦的果報。
- 不行善業，最終將陷入苦惱。
- 承受苦果時，只能悲傷哭泣。
21.1.2 善業的因果
- 實踐善業，行為完成後不會苦惱。
- 內心充滿歡喜與安樂。
- 必然承受安樂的果報。
21.2. 智者的修行態度
21.2.1 明智的準備
- 智者與賢者能清楚認知自身行為。
- 預先為自己的行為做好正確的準備。
21.2.2 精進的必要性
- 應如強壯的車夫般勇猛精進。
- 若在修行上懈怠，就如同車夫離開平坦大道，駛入崎嶇不平之路。
- 懈怠將導致車軸毀壞般的失敗與沈淪。
- 不依法則前進，跟從錯誤之法，懈怠者終將落入魔障之口。

22.1. 布施的核心法則
22.1.1 布施的根本原則
- 以清淨的信仰之心進行布施。
- 布施的對象包括食物與其他所需之物。
22.1.2 布施的功德利益
- 布施者能於現世與來世獲得所需飲食。
- 功德能成為渡過來世的重要依憑。
22.2. 布施的實踐要點
22.2.1 心態調整
- 應當調伏內心的慳吝，以善行克服貪垢。
22.2.2 布施對象
- 沙門、婆羅門、貧困可憐之人、旅行者、無住所之人、乞求者。
22.3. 布施的推廣方法
22.3.1 鼓勵他人布施
- 讚歎布施的功德，提供布施的機會，創造條件讓更多人參與。
22.3.2 布施的延續
- 即使自己無法直接布施，也可通過支持他人布施來積累功德。
- 長久堅持布施善行，其功德果報無有窮盡。
22.4. 功德果報的特性
22.4.1 功德積累與顯現
- 長期實踐的功德善行不會消失，各種功德都會產生相應的果報。
- 功德果報能在天界持續顯現，其享受沒有終極。

23.1. 解脫者之核心特質
23.1.1 根本斷除之煩惱
- 欲貪已滅盡無餘
- 瞋恚已滅盡無餘
- 世間之愛著已被超越
23.1.2 超越之境界
- 已超越死亡魔王的領域
- 捨棄人身之後，不再受生
- 脫離天界生命的束縛
23.2. 解脫者之實例
- 優波迦
- 波羅犍陀
- 弗久左底
- 跋提耶犍陀
- 捉婆
- 婆睺羅
- 祇頻祇耶
23.3. 成就解脫之基礎法則
23.3.1 解脫之關鍵
- 斷除一切存在的束縛
- 徹底知曉並實踐正法
23.3.2 正法之核心內容
- 名與色的完全滅盡
- 無有任何殘餘
23.4. 解脫法則之普遍應用
- 此法則適用於所有追求解脫者
- 依此修行可斷除存在之束縛
- 最終達成不再受生的究竟解脫

24.1. 安住無求之心
- 乞食而無求心
- 知曉世間無常
- 達至苦惱止息
24.2. 放逸者之過失
- 心向自家惡行
- 心念繫著他人財富
- 食畢即臥，懈怠度日
- 如村長治理村落般向外馳求
24.3. 僧團失序之相
- 僧伽中無人行合掌禮
- 有人僅禮敬天子而非僧寶
- 猶如被棄之無主死屍
24.4. 天子教誡之原則
- 對放逸之人，予以言語告誡
- 對安住不放逸者，行歸依敬禮

25.1. 世界邊際的定義與內在性
- 世界的終極邊際是不生、不衰、不死、不再生起的境地。
- 此境地無法透過步行、探尋或到達等外在形式實現。
- 世界的邊際存在於自身一尋（約一人高）的、具有思想與意識的身體之中。
25.2. 苦之止息與世界邊際的同一性
- 苦惱的止息，即是抵達了世界的邊際。
- 無需到達外在世界的盡頭，便能從苦惱中解脫。
- 在此身心之中，即可通達世界的生起與其結果、世界的息滅與導向息滅之道。
25.3. 通達世界邊際的實踐者特質
- 是完成清淨梵行之人。
- 是賢明且了解世間真相者。
- 是內心寂靜、止息煩惱之人。
- 是知曉世界的邊際，並對今生與來世皆無所求之人。

26.1. 世間無常法則
26.1.1 時間與生命的流逝特性
- 時間不斷流逝，日夜更替。
- 生命的青春階段終將逝去。
26.1.2 無常所引發的省思
- 觀察到死亡的存在，應心生警惕。
- 此警惕能激發尋求解脫的動力。
26.2. 修行實踐的兩個方向
26.2.1 積極積累
- 應當積累能帶來安樂的善德與福業。
26.2.2 捨離追求
- 應當捨棄對世間欲望的貪著。
- 最終目標是希求與達到內心的寂靜。

27.1. 斷除貪愛束縛之法則
27.1.1 根本斷除
- 斷除惡欲、貪求與渴愛之根源
27.1.2 具體捨棄
- 捨棄如繩索與羅網般的束縛纏繞
27.2. 淨心求解脫之途徑
27.2.1 內在淨化
- 淨化不淨本性與心靈污穢
27.2.2 解脫成就
- 透過上述實踐尋得解脫出口

28.1. 圓滿德性之根本法則
   具備智慧、少欲、精進、善教等德性者，必為不愚癡、不染污、心不散亂者所共同喜愛與讚歎，其德性猶如珍寶顯現清淨光輝。
28.1.1 智慧通達之法則
   - 賢明通達
   - 思維敏捷
   - 見解銳利
28.1.2 少欲修行之法則
   - 欲望寡少
   - 常懷知足
   - 精進不懈
28.1.3 善巧教化之法則
   - 善於言說
   - 勤行勸導
   - 勇於糾惡
28.2. 德性展現之具體要素
28.2.1 心性特質
   - 遠離瞋怒
   - 性情柔和
   - 善於調伏
28.2.2 修行成就
   - 承擔師教
   - 智慧通達
   - 善備臨終
28.2.3 世間評價
   - 德性圓滿
   - 普受敬重
28.3. 法則應用說明
   智慧通達之法則普遍適用於心性特質中的善於調伏與修行成就中的智慧通達；少欲修行之法則體現在心性特質的遠離瞋怒與性情柔和；善巧教化之法則展現於修行成就的承擔師教與世間評價的普受敬重。

29.1. 外道學說之謬誤
29.1.1 善惡判斷之謬誤
- 主張殺害、奪取等行為不構成罪惡
- 此種善惡觀與真實功德相違背
29.1.2 苦行實踐之謬誤
- 強調嚴苛的苦行與厭離生活
- 注重外在的言行約束與爭論止息
- 主張通過身體的制御來淨化
29.1.3 解脫境界之謬誤
- 教導追求天界享樂
- 未能引導眾生超越現有境界
- 將物質層次的快樂視為目標
29.2. 外道師之特質
- 以裸形、妄語等異常行為示現
- 自稱為眾人師範
- 聲稱已達沙門果位
- 其行為引起世人疑訝
29.3. 正法之特質
29.3.1 超越世間性
- 不執著此世與他世任何境界
- 超越一切光顯輝耀的現象
- 如獅子般尊勝，非野干可比
29.3.2 無執著性
- 雖讚歎善法但不執著
- 如對待魚餌般善巧運用而不被束縛
- 能夠適時捨棄而不黏著
29.4. 正法之最勝地位
- 於世間和天界中最為尊貴
- 如諸山中最高、星月中最明
- 佛陀與正法為一切中最第一

30.1. 不可輕視之總綱
   - 有四種事物，不應因其年少、幼小或初始的階段而加以輕視。
30.2. 不可輕視之細則
30.2.1 年少之剎帝利
   - 雖生年青少，但具備尊貴種姓與聲譽。
   - 若輕視之，待其登上王位掌握權力時，可能因忿怒而施加嚴厲刑罰。
30.2.2 幼少之蛇
   - 無論所見之蛇體型大小或外貌如何，皆不應輕視。
   - 蛇具有毒性，愚昧之人若靠近，將立即被咬傷。
30.2.3 細小之火
   - 燃燒中的火，即使看似細小並伴隨黑煙，亦不應輕視。
   - 火具有貪婪吞噬燃料的特性，一旦獲得足夠柴薪，便能燃起巨大火焰。
   - 愚昧之人若靠近，將立即被火燃燒。
30.2.4 持戒之比丘
   - 持守戒律的比丘，其戒行之力量如同火焰。
   - 若輕視持戒比丘，其影響如同火燒森林後，草木難以再生，或如同切斷植物新芽，使其無法延續。
30.3. 應對之正確態度
   - 賢智之人，基於對自身利益的清楚認知，應善加辨識並以正確的態度與行為，對待此四種不可輕視者：具潛力的年輕剎帝利、所有蛇類、任何狀態的火以及持戒清淨的比丘。

31.1. 三種有害心念的定義
31.1.1 三種有害心念的類型
- 貪：貪婪的心念。
- 瞋：憎恨的心念。
- 癡：愚癡的心念。
31.2. 有害心念的影響
31.2.1 三種主要的負面後果
- 不利：對人造成損害。
- 苦惱：為人帶來痛苦。
- 不安住：使人內心不得安定。
31.3. 有害心念的本質
31.3.1 核心運作法則
- 這些惡劣的心念一旦生起，其作用就如同手持倒生的竹實（竹子的果實，外殼尖銳）一般，本質上是對自身的傷害。

32.1. 生者必滅的普遍法則
32.1.1 法則的根源與適用範圍
- 法則的根源在於「有生」。
- 所有生物均無法免除衰老與死亡。
32.2. 法則的具體體現
32.2.1 世間眾生
- 擁有巨大財富、豐厚資產與大量金銀穀物的家主與婆羅門，因有生之故，不能免於老死。
32.2.2 出世間聖者
- 即使是已斷盡煩惱、完成聖道、達到究竟解脫的修行者，其肉身仍是會敗壞、終須捨棄的。

33.1. 自愛的本質與判斷
33.1.1 自愛的判斷標準
- 是否真正愛自己取決於個人的實際行為
- 身、語、意三方面的行為表現是判斷標準
- 行為的善惡性質決定自愛的真實性
33.1.2 自愛者的行為特徵
- 依身體做出善的行為
- 依言語做出善的行為
- 依意念做出善的行為
- 實際行為證明確是自愛
33.1.3 非自愛者的行為特徵
- 依身體做出惡的行為
- 依言語做出惡的行為
- 依意念做出惡的行為
- 實際行為證明並非自愛
33.2. 行為的歸屬與影響
33.2.1 行為的歸宿特性
- 善與惡兩種行為都是個人所作
- 行為成為個人自身的所有物
- 個人將帶著自己的行為走向未來
33.2.2 行為的後果影響
- 善行能為未來積累功德，如影隨形地保護，成為渡向未來的依靠
- 惡行會如影隨形地跟隨，行惡之人難以獲得安樂

34.1. 自護的核心法則
34.1.1 善惡與守護之因
- 以身、語、意行善行，即是善護自我。
- 以身、語、意行惡行，即是不護自我。
34.1.2 內在守護與外在守護之別
- 象軍、馬軍、車軍、步軍等外在守護，無法真正守護自我。
- 依身、語、意所行之善行，是真正的內在守護。
34.2. 實踐自護的方法
34.2.1 身業清淨
- 以身行善行，不行惡行。
34.2.2 語業清淨
- 以語行善行，不行惡行。
34.2.3 意業清淨
- 以意行善行，不行惡行。
34.3. 自護的總結
善於自制身體、語言、心意及一切的人，即是知恥的守護者。

35.1. 財富對人心的普遍影響法則
35.1.1 多數人的反應
- 獲得巨大財富後，心念會沉迷、陷溺於欲樂，並因此犯下過失。
- 此類情況在人群中佔絕大多數。
35.1.2 少數人的反應
- 獲得巨大財富後，心念能保持不沉迷、不陷溺於欲樂，從而不犯過失。
- 此類情況在人群中極為稀少。
35.2. 沉迷欲樂的後果
35.2.1 心念的轉變與行為過失
